pop1	pop2	fst	weighted_fst	rare_fst	rare_weight_fst
BP	CT	0.070507	0.126733	0.07225	0.075098
BP	GA	0.087737	0.29637	0.17377	0.280869
BP	HB	0.013148	0.044201	0.031915	0.042381
BP	KC	0.188355	0.307341	0.181407	0.191397
BP	MDIBL	0.03758	0.193812	0.114547	0.164099
BP	ME	0.042683	0.210449	0.121003	0.163671
BP	M	0.017178	0.063698	0.043909	0.058506
BP	MG	0.046658	0.153114	0.100011	0.150974
BP	NBH	0.014756	0.055714	0.039876	0.054245
BP	NC	0.273036	0.398899	0.176837	0.169218
BP	OC	0.06044	0.180154	0.122781	0.175096
BP	RB	0.055328	0.179014	0.116656	0.178059
BP	SC	0.285611	0.440886	0.196911	0.193386
BP	SLC	0.014765	0.051456	0.036093	0.048343
BP	SR	0.01402	0.046793	0.0334	0.044407
BP	WNC	0.159497	0.304252	0.188323	0.21747
CT	GA	0.126955	0.345554	0.191466	0.235089
CT	HB	0.06953	0.137929	0.074559	0.079261
CT	KC	0.208635	0.362701	0.106047	0.118331
CT	MDIBL	0.112582	0.230678	0.129325	0.146872
CT	ME	0.101846	0.240173	0.116936	0.134359
CT	M	0.080043	0.152404	0.077125	0.082792
CT	MG	0.078871	0.207361	0.124678	0.143164
CT	NBH	0.07214	0.149314	0.088643	0.091679
CT	NC	0.288658	0.452998	0.070775	0.070193
CT	OC	0.090788	0.239674	0.129747	0.153267
CT	SC	0.300194	0.491958	0.071082	0.072449
CT	SH	0.09289	0.236937	0.139515	0.164316
CT	SLC	0.0726	0.140548	0.072422	0.076953
CT	SR	0.056138	0.104878	0.058932	0.061107
CT	WNC	0.183026	0.35311	0.130833	0.154928
GA	HB	0.085542	0.283327	0.165892	0.265956
GA	KC	0.116354	0.179942	0.10421	0.099464
GA	MDIBL	0.101221	0.371119	0.226918	0.347516
GA	ME	0.109204	0.400549	0.238795	0.34868
GA	M	0.085804	0.284588	0.163738	0.258992
GA	MG	0.048101	0.1292	0.075382	0.12875
GA	NBH	0.084357	0.280439	0.16263	0.27618
GA	NC	0.156857	0.222388	0.106275	0.095068
GA	RB	0.046171	0.117344	0.07056	0.116004
GA	SC	0.145012	0.204723	0.093655	0.082594
GA	SH	0.044058	0.112644	0.068331	0.11026
GA	SLC	0.084184	0.278165	0.159603	0.25476
GA	SR	0.084719	0.281834	0.167413	0.274497
GA	WNC	0.070687	0.089577	0.060432	0.058924
