pop1	pop2	fst	weight_fst
BP	CT	0.07225	0.075098
BP	GA	0.17377	0.280869
BP	HB	0.031915	0.042381
BP	KC	0.181407	0.191397
BP	MDIBL	0.114547	0.164099
BP	ME	0.121003	0.163671
BP	MG	0.100011	0.150974
BP	M	0.043909	0.058506
BP	NBH	0.039876	0.054245
BP	NC	0.176837	0.169218
BP	OC	0.122781	0.175096
BP	RB	0.116656	0.178059
BP	SC	0.196911	0.193386
BP	SH	0.118412	0.179062
BP	SLC	0.036093	0.048343
BP	SR	0.0334	0.044407
BP	WNC	0.188323	0.21747
CT	GA	0.191466	0.235089
CT	HB	0.074559	0.079261
CT	KC	0.106047	0.118331
CT	MDIBL	0.129325	0.146872
CT	ME	0.116936	0.134359
CT	MG	0.124678	0.143164
CT	M	0.077125	0.082792
CT	NBH	0.088643	0.091679
CT	NC	0.070775	0.070193
CT	OC	0.129747	0.153267
CT	RB	0.14079	0.165121
CT	SC	0.071082	0.072449
CT	SH	0.139515	0.164316
CT	SLC	0.072422	0.076953
CT	SR	0.058932	0.061107
CT	WNC	0.130833	0.154928
GA	HB	0.165892	0.265956
GA	KC	0.10421	0.099464
GA	MDIBL	0.226918	0.347516
GA	ME	0.238795	0.34868
GA	MG	0.075382	0.12875
GA	M	0.163738	0.258992
GA	NBH	0.16263	0.27618
GA	NC	0.106275	0.095068
GA	OC	0.07928	0.120759
GA	RB	0.07056	0.116004
GA	SC	0.093655	0.082594
GA	SH	0.068331	0.11026
GA	SLC	0.159603	0.25476
GA	SR	0.167413	0.274497
GA	WNC	0.060432	0.058924
HB	KC	0.172902	0.181172
HB	MDIBL	0.111857	0.158304
HB	ME	0.125098	0.168596
HB	MG	0.091114	0.13469
HB	M	0.025768	0.034353
HB	NBH	0.02356	0.030987
HB	NC	0.170466	0.164081
HB	OC	0.111659	0.158275
HB	RB	0.106803	0.160457
HB	SC	0.181615	0.176648
HB	SH	0.108198	0.162204
HB	SLC	0.013667	0.018997
HB	SR	0.043344	0.058158
HB	WNC	0.179194	0.206043
KC	MDIBL	0.214836	0.231885
KC	ME	0.194999	0.212001
KC	MG	0.099451	0.092028
KC	M	0.164173	0.172814
KC	NBH	0.195327	0.200416
KC	NC	0.00238	0.002242
KC	OC	0.079646	0.077356
KC	RB	0.089744	0.082283
KC	SC	0.00719	0.007339
KC	SH	0.084206	0.078003
KC	SLC	0.16389	0.17187
KC	SR	0.181652	0.188967
KC	WNC	0.046672	0.050192
MDIBL	ME	0.086353	0.114473
MDIBL	MG	0.14925	0.22141
MDIBL	NBH	0.114124	0.166835
MDIBL	NC	0.196888	0.194991
MDIBL	OC	0.173285	0.246338
MDIBL	RB	0.169449	0.250808
MDIBL	SC	0.211287	0.21197
MDIBL	SH	0.170135	0.252166
MDIBL	SLC	0.112877	0.159824
MDIBL	SR	0.105233	0.152914
MDIBL	WNC	0.224698	0.265109
ME	MG	0.17099	0.240952
ME	NBH	0.124425	0.170251
ME	NC	0.163244	0.163886
ME	OC	0.190039	0.258818
ME	RB	0.190992	0.270024
ME	SC	0.194521	0.196012
ME	SH	0.192654	0.269837
ME	SLC	0.119344	0.16183
ME	SR	0.11399	0.155575
ME	WNC	0.217047	0.258469
MG	NBH	0.090412	0.141333
MG	NC	0.129729	0.117619
MG	OC	0.010928	0.014195
MG	RB	0.006233	0.009219
MG	SC	0.151617	0.139813
MG	SH	0.006569	0.009659
MG	SLC	0.089204	0.130104
MG	SR	0.087433	0.133128
MG	WNC	0.113934	0.117629
M	MDIBL	0.113798	0.161912
M	ME	0.124039	0.168808
M	MG	0.094187	0.137765
M	NBH	0.007316	0.010062
M	NC	0.154655	0.147968
M	OC	0.112832	0.158875
M	RB	0.110291	0.163409
M	SC	0.165571	0.161482
M	SH	0.110459	0.163751
M	SLC	0.015803	0.022088
M	SR	0.055036	0.074488
M	WNC	0.169772	0.195448
NBH	NC	0.196036	0.188116
NBH	OC	0.116887	0.165427
NBH	RB	0.107333	0.167921
NBH	SC	0.214444	0.208994
NBH	SH	0.109488	0.168386
NBH	SLC	0.013645	0.018098
NBH	SR	0.052858	0.073149
NBH	WNC	0.193434	0.218815
NC	OC	0.095659	0.087142
NC	RB	0.118063	0.105976
NC	SC	-0.01856	-0.018916
NC	SH	0.108382	0.097362
NC	SLC	0.157554	0.152046
NC	SR	0.181005	0.173776
NC	WNC	0.029295	0.027629
OC	RB	0.008065	0.010447
OC	SC	0.112235	0.105184
OC	SH	0.008715	0.011697
OC	SLC	0.109668	0.154091
OC	SR	0.1096	0.158192
OC	WNC	0.092325	0.099964
RB	SC	0.134945	0.12303
RB	SH	0.003826	0.005304
RB	SLC	0.106021	0.1569
RB	SR	0.104662	0.161438
RB	WNC	0.102255	0.10494
SC	SH	0.126366	0.115936
SC	SLC	0.172192	0.168081
SC	SR	0.195327	0.190988
SC	WNC	0.030345	0.029088
SH	SLC	0.105998	0.156665
SH	SR	0.106186	0.163074
SH	WNC	0.095749	0.100226
SLC	SR	0.047593	0.064171
SLC	WNC	0.169037	0.194609
SR	WNC	0.186559	0.214367
