pop	theta_w	theta_pair	clade	distance
GA	0.0157604	0.0277894	S	0
WNC	0.00798665	0.0255325	S	200
NC	0.00374548	0.0181517	S	439
SC	0.00363379	0.0175954	S	754
KC	0.00572633	0.0215393	S	927
MG	0.00784891	0.024304	S	1145
SH	0.0114505	0.0259	S	1205
OC	0.0104627	0.0242242	S	1240
RB	0.00695105	0.0252045	S	1270
CT	0.00456399	0.0125383	N	1499
SR	0.00753234	0.0172314	N	1586
M	0.00809498	0.0180463	N	1634
NBH	0.00602926	0.0177268	N	1635
BP	0.00688672	0.0170217	N	1661
HB	0.00707199	0.017314	N	1653
SLC	0.00832867	0.018012	N	1642
ME	0.00427657	0.00996411	N	2008
MDIBL	0.00598634	0.0119136	N	2174
