pop	mean_annual_max	mean_annual_min	tenyearmean	scaledPC1
MDIBL	14.87199965	2.72299993	8.296010772	-2.47164798
ME	18.40999966	2.073999959	9.189081986	-1.90213951
NBH	22.27199936	1.779999948	11.8348463	-0.97953382
M	22.27199936	1.779999948	11.8348463	-0.97953382
SLC	22.27199936	1.779999948	11.8348463	-0.97953382
HB	22.19399948	2.947999883	11.98393398	-0.81651365
BP	22.19399948	2.947999883	11.98393398	-0.81651365
SR	22.08099976	2.960999942	11.93723535	-0.83839706
CT	23.58699951	0.902999973	12.20589563	-0.84509893
MG	24.65899963	3.716999888	13.49955859	-0.12829534
OC	24.79699917	3.711999917	13.6115997	-0.09202405
RB	25.13299942	2.659999955	13.72427914	-0.1631395
SH	25.36899948	1.76899994	13.6582901	-0.25438876
KC	27.03899956	3.257999921	15.55772294	0.46717203
NC	27.6489996	9.874999666	18.66875028	1.88081067
WNC	28.94499931	12.86499987	21.36418034	2.86073599
SC	29.43799934	14.96699944	22.32602416	3.35007343
GA	29.64799938	10.91599998	21.35021596	2.70796777
