Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params
SC_sym_i	Round_4_Replicate_14	-3027.16	6070.32	1762.83	122.43	3.4892,10.0142,8.268,0.143,0.2367,9.2455,0.7396,0.0233
SC_sym_i	Round_4_Replicate_2	-3216.94	6449.88	2125.21	212.25	1.3958,6.4395,13.1006,0.1863,0.3892,7.3035,0.5905,0.0191
SC_sym_i	Round_4_Replicate_13	-3251.75	6519.5	2090.71	211.74	1.5797,5.7845,8.6206,0.1746,0.3369,8.0754,0.5071,0.0182
SC_sym_i	Round_4_Replicate_26	-3380.58	6777.16	2095.4	266.05	1.9303,3.8303,14.939,0.1972,0.1545,3.8923,0.7217,0.0453
SC_sym_i	Round_4_Replicate_1	-3476.69	6969.38	3020.22	167.44	3.7041,7.6663,17.5544,0.1298,0.2511,3.7661,0.7443,0.021
SC_sym_i	Round_2_Replicate_17	-3993.45	8002.9	4003.82	920.25	0.3057,1.4237,1.2067,1.7574,0.2141,0.047,0.3445,0.0594
SC_sym_i	Round_1_Replicate_6	-4433.07	8882.14	4342.24	494.51	0.927,3.0063,1.3963,0.3051,0.6383,0.1354,0.5213,0.1757
SC_sym_i	Round_2_Replicate_11	-4631.9	9279.8	4026.17	1052.48	0.1398,1.0203,11.654,0.1655,0.7289,0.0277,0.3616,0.1442
SC_sym_i	Round_1_Replicate_8	-4751.12	9518.24	6911.19	719.83	0.1311,2.7506,1.7941,2.1611,7.702,14.7564,0.99,0.068
SC_sym_i	Round_2_Replicate_18	-4928.49	9872.98	9762.11	316.63	1.485,5.198,0.2701,0.3433,1.2429,0.1162,0.9894,0.0239
SC_sym_i	Round_4_Replicate_13	-3005.91	6025.82	1462.67	1276.32	0.2077,0.8835,2.0271,7.9108,0.3055,7.9066,0.6228
SC_sym_i	Round_4_Replicate_3	-3015.91	6045.82	1570.86	1527.16	0.182,0.6958,2.7471,8.487,0.6803,7.4412,0.5394
SC_sym_i	Round_4_Replicate_23	-3029.56	6073.12	1276.84	1787.09	0.1579,0.5886,1.4256,8.7469,0.2584,4.6172,0.8128
SC_sym_i	Round_4_Replicate_2	-3032.65	6079.3	2749.81	913.63	0.2812,1.2765,1.686,3.9006,0.7264,8.7906,0.8172
SC_sym_i	Round_4_Replicate_25	-3047.57	6109.14	2819.94	1534.35	0.1585,0.8199,2.7696,7.9563,0.2752,12.0966,0.7887
no_mig	Round_4_Replicate_3	-10329.68	20665.36	20836.56	6432.86	0.2037,1.3704,0.0401
no_mig	Round_3_Replicate_6	-10330.08	20666.16	18855.3	6702.77	0.1725,1.0589,0.0347
no_mig	Round_4_Replicate_16	-10341.57	20689.14	18137.57	6646.14	0.194,1.0303,0.0398
no_mig	Round_4_Replicate_20	-10357.28	20720.56	18306.7	6595.31	0.1729,1.205,0.0392
no_mig	Round_3_Replicate_14	-10360.47	20726.94	20679.9	6236.01	0.2401,1.5091,0.0477
