Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
SC_sym_i	Round_1_Replicate_1	-7001.38	14018.76	11945.58	2720.53	0.1485,0.1514,0.5321,2.805,0.4463,0.4365,0.99,0.1792
SC_sym_i	Round_1_Replicate_2	-5211.91	10439.82	7856.25	485.05	0.1601,3.1006,1.3314,2.1508,1.783,0.1185,0.1652,0.0875
SC_sym_i	Round_1_Replicate_3	-26558.84	53133.68	617063.15	1412.0	0.2002,0.3137,4.1131,0.302,4.1662,15.0853,0.9891,0.9898
SC_sym_i	Round_1_Replicate_4	-7109.95	14235.9	13550.36	1838.45	0.4243,0.1436,0.8495,7.3207,0.117,0.3139,0.9898,0.138
SC_sym_i	Round_1_Replicate_5	-19505.53	39027.06	162048.64	437.13	3.9797,0.2928,0.5759,3.9745,0.5438,2.5299,0.063,0.805
SC_sym_i	Round_1_Replicate_6	-4433.07	8882.14	4342.24	494.51	0.927,3.0063,1.3963,0.3051,0.6383,0.1354,0.5213,0.1757
SC_sym_i	Round_1_Replicate_7	-9240.23	18496.46	32962.14	204.21	0.158,14.0839,0.4407,2.07,12.1152,9.3833,0.39,0.3763
SC_sym_i	Round_1_Replicate_8	-4751.12	9518.24	6911.19	719.83	0.1311,2.7506,1.7941,2.1611,7.702,14.7564,0.99,0.068
SC_sym_i	Round_1_Replicate_9	-11833.46	23682.92	58424.18	1414.11	0.1414,0.4249,0.3165,0.4149,12.1302,7.2125,0.9897,0.4339
SC_sym_i	Round_1_Replicate_10	-24262.23	48540.46	277392.34	312.25	1.6788,5.8167,9.8204,0.5692,1.038,0.1032,0.9902,0.989
SC_sym_i	Round_2_Replicate_1	-11529.82	23075.64	10540673.64	351.21	1.969,12.4205,0.5625,0.6955,0.1425,0.2896,0.0795,0.7055
SC_sym_i	Round_2_Replicate_2	-21913.95	43843.9	266006.26	834.2	0.2851,1.7331,0.3795,0.7425,0.0741,0.2897,0.6256,0.9898
SC_sym_i	Round_2_Replicate_3	-7167.58	14351.16	19677.02	669.21	0.7298,4.2418,1.0774,0.5805,0.1428,0.0328,0.1673,0.4919
SC_sym_i	Round_2_Replicate_4	-6665.41	13346.82	16521.66	241.58	3.1265,7.098,2.3931,0.4556,1.3496,0.0471,0.9896,0.2433
SC_sym_i	Round_2_Replicate_5	-12460.12	24936.24	49103.76	516.25	2.7283,0.5424,0.4146,0.2982,1.3343,0.0888,0.9891,0.2761
SC_sym_i	Round_2_Replicate_6	-17654.68	35325.36	2782905.13	258.17	0.4766,17.0362,7.6338,1.7994,2.9647,0.5446,0.1937,0.9399
SC_sym_i	Round_2_Replicate_7	-6330.42	12676.84	26051.95	149.75	2.3956,12.3076,7.919,0.2248,3.4601,0.1178,0.9893,0.0332
SC_sym_i	Round_2_Replicate_8	-7221.53	14459.06	11813.47	913.8	0.2727,0.4825,0.6645,1.4309,3.0639,0.1668,0.9896,0.0303
SC_sym_i	Round_2_Replicate_9	-18991.14	37998.28	391066.72	408.71	3.7942,0.4911,0.3951,0.0352,2.0447,0.0277,0.1456,0.4743
SC_sym_i	Round_2_Replicate_10	-10914.0	21844.0	49390.5	490.37	0.7652,2.0174,0.6713,0.0463,2.0557,0.0772,0.3413,0.5279
SC_sym_i	Round_2_Replicate_11	-4631.9	9279.8	4026.17	1052.48	0.1398,1.0203,11.654,0.1655,0.7289,0.0277,0.3616,0.1442
SC_sym_i	Round_2_Replicate_12	-5664.69	11345.38	11479518065.55	340.85	4.5926,3.3107,8.0232,1.2587,0.4032,0.3489,0.8761,0.0385
SC_sym_i	Round_2_Replicate_13	-24169.36	48354.72	301387.77	245.53	0.6355,14.0693,0.9247,0.2676,0.7105,0.7775,0.1867,0.9892
SC_sym_i	Round_2_Replicate_14	-8056.6	16129.2	13746.65	799.32	0.9149,0.7394,1.5833,0.735,0.1535,0.8235,0.9898,0.4876
SC_sym_i	Round_2_Replicate_15	-25017.57	50051.14	593568.68	539.42	0.3697,4.1147,0.6283,0.128,0.4522,0.0718,0.9896,0.9891
SC_sym_i	Round_2_Replicate_16	-8167.29	16350.58	16561348.11	198.34	4.519,6.9286,9.1605,0.7255,1.7672,0.3704,0.1669,0.2664
SC_sym_i	Round_2_Replicate_17	-3993.45	8002.9	4003.82	920.25	0.3057,1.4237,1.2067,1.7574,0.2141,0.047,0.3445,0.0594
SC_sym_i	Round_2_Replicate_18	-4928.49	9872.98	9762.11	316.63	1.485,5.198,0.2701,0.3433,1.2429,0.1162,0.9894,0.0239
SC_sym_i	Round_2_Replicate_19	-9269.37	18554.74	100078.59	198.67	0.7548,9.6604,0.8113,0.0813,3.0991,0.1896,0.9889,0.0199
SC_sym_i	Round_2_Replicate_20	-5744.5	11505.0	666196.3	511.36	0.9383,13.1221,0.9622,1.2042,0.175,0.0381,0.9896,0.173
SC_sym_i	Round_3_Replicate_1	-4909.87	9835.74	7125.14	725.42	0.9095,1.2761,0.4483,2.7492,0.4832,0.0247,0.2943,0.0399
SC_sym_i	Round_3_Replicate_2	-4093.33	8202.66	4767.42	579.5	0.3705,4.8068,2.0186,0.888,0.2876,0.0587,0.4083,0.0268
SC_sym_i	Round_3_Replicate_3	-3393.93	6803.86	2393.75	681.4	0.6867,1.5122,5.3987,3.3898,0.7602,0.0383,0.4888,0.0267
SC_sym_i	Round_3_Replicate_4	-3700.13	7416.26	2627.92	985.32	0.7084,0.7462,1.0463,2.7447,0.1551,0.0531,0.7494,0.0146
SC_sym_i	Round_3_Replicate_5	-3768.08	7552.16	4044.79	1049.03	0.3724,1.0427,0.9878,0.5218,0.0719,0.0408,0.9898,0.0175
SC_sym_i	Round_3_Replicate_6	-3413.36	6842.72	2422.16	747.75	0.7556,1.8268,0.5694,2.9198,0.207,0.0555,0.3248,0.0197
SC_sym_i	Round_3_Replicate_7	-4378.87	8773.74	6229.12	812.8	0.1859,5.2275,1.1826,5.4964,0.0929,0.0175,0.1223,0.033
SC_sym_i	Round_3_Replicate_8	-5623.59	11263.18	12519.32	860.08	0.2302,1.6676,1.0347,0.4843,0.3249,0.0437,0.6285,0.0224
SC_sym_i	Round_3_Replicate_9	-5948.75	11913.5	12945.12	608.97	0.2405,4.9339,3.7447,0.8491,0.2917,0.0164,0.6588,0.1482
SC_sym_i	Round_3_Replicate_10	-4319.24	8654.48	4778.4	796.71	0.2911,2.447,0.9497,1.2236,0.1408,0.0871,0.9898,0.1398
SC_sym_i	Round_3_Replicate_11	-4027.29	8070.58	185165.37	503.8	1.0583,2.7289,2.32,3.2086,0.6933,0.0653,0.9894,0.1682
SC_sym_i	Round_3_Replicate_12	-5927.56	11871.12	11679.12	668.29	0.1415,3.2204,5.2448,0.471,0.3553,0.131,0.7553,0.1243
SC_sym_i	Round_3_Replicate_13	-3541.49	7098.98	3727.6	601.72	0.8102,3.4164,0.8568,4.4234,0.2496,0.0602,0.185,0.0254
SC_sym_i	Round_3_Replicate_14	-4790.45	9596.9	5445.79	567.71	1.1262,2.5346,0.3613,1.2852,0.3961,0.0636,0.4144,0.1894
SC_sym_i	Round_3_Replicate_15	-4031.41	8078.82	3210.45	896.07	0.2961,1.9533,1.9881,4.2282,0.1203,0.0412,0.5584,0.1894
SC_sym_i	Round_3_Replicate_16	-3626.27	7268.54	4241.66	943.88	0.3237,1.9791,0.4332,2.3949,0.0757,0.0202,0.2051,0.0229
