Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1_0,nu2_0,nu1,nu2,T,m12,m21,m12i,m21i,P,p_misid)
SC_sym_i	Round_1_Replicate_1	-5040.13	10094.26	10791.41	556.48	0.1588,3.8992,0.4873,16.7566,0.6317,1.2295,0.3208
SC_sym_i	Round_1_Replicate_2	-3192.4	6398.8	1823.66	3690.34	0.0844,0.2474,4.3348,8.1951,0.4287,10.6182,0.9894
SC_sym_i	Round_1_Replicate_3	-3877.7	7769.4	4570.11	274.05	0.7219,5.5589,0.2538,15.893,0.9543,3.5517,0.145
SC_sym_i	Round_1_Replicate_4	-15551.89	31117.78	197474.18	959.81	0.1202,0.432,0.1779,0.4247,3.5344,0.0853,0.104
SC_sym_i	Round_1_Replicate_5	-21505.46	43024.92	225304.0	245.4	6.7556,0.1291,0.0784,0.3096,3.8494,1.6795,0.0867
SC_sym_i	Round_1_Replicate_6	-7303.92	14621.84	782368.86	689.86	2.7561,0.339,2.3874,5.2302,0.7357,14.3109,0.989
SC_sym_i	Round_1_Replicate_7	-11661.15	23336.3	49537.94	226.08	6.2406,0.2741,1.0294,2.0317,7.4334,0.1586,0.9892
SC_sym_i	Round_1_Replicate_8	-10919.28	21852.56	47217.13	220.95	5.7371,1.5551,8.7371,0.106,4.7948,0.0752,0.9675
SC_sym_i	Round_1_Replicate_9	-5849.26	11712.52	23426.61	276.27	8.3695,2.3569,0.1525,1.051,0.1419,1.0434,0.9901
SC_sym_i	Round_1_Replicate_10	-14763.32	29540.64	64523.52	659.65	2.1425,0.1032,0.1856,1.1323,0.6176,5.4678,0.6663
SC_sym_i	Round_2_Replicate_1	-6977.47	13968.94	17307.03	5938.58	0.0399,0.119,11.3081,2.4744,0.4617,3.3774,0.9894
SC_sym_i	Round_2_Replicate_2	-4641.47	9296.94	15189.09	2285.02	0.039,1.1151,10.5106,5.5994,0.0901,3.8984,0.1581
SC_sym_i	Round_2_Replicate_3	-3062.85	6139.7	1467.61	3534.83	0.0838,0.2804,2.7522,10.2436,0.3697,13.071,0.9894
SC_sym_i	Round_2_Replicate_4	-6608.44	13230.88	17563.09	4380.45	0.0231,0.2486,1.8979,3.484,0.1697,2.7853,0.99
SC_sym_i	Round_2_Replicate_5	-3465.89	6945.78	177588.6	1089.21	0.1662,1.5915,9.5105,6.1803,1.4463,2.2216,0.9896
SC_sym_i	Round_2_Replicate_6	-6152.82	12319.64	8210.66	12556.23	0.0368,0.0348,19.7001,1.1873,0.2472,19.5975,0.2226
SC_sym_i	Round_2_Replicate_7	-8546.75	17107.5	24327.3	3622.8	0.6197,0.0436,18.5729,13.2425,2.2967,2.637,0.3777
