Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, T)
no_mig	Round_1_Replicate_1	-55257.95	110521.9	2616191.7	2339.41	0.5867,4.794,1.131
no_mig	Round_1_Replicate_2	-72454.05	144914.1	8101150.01	3329.26	0.2495,3.0997,0.8251
no_mig	Round_1_Replicate_3	-44328.69	88663.38	831068.35	1121.67	4.9032,6.2533,2.3025
no_mig	Round_1_Replicate_4	-19168.69	38343.38	76813.46	5548.28	0.532,0.9467,0.1976
no_mig	Round_1_Replicate_5	-44826.05	89658.1	1009214.51	3814.56	0.6447,1.6434,0.7785
no_mig	Round_1_Replicate_6	-53862.57	107731.14	2055478.54	2211.84	1.3969,2.8945,1.6775
no_mig	Round_1_Replicate_7	-29715.94	59437.88	165221.87	6303.76	0.556,0.5103,0.238
no_mig	Round_1_Replicate_8	-404665.17	809336.34	1.097680049911586e+16	2712.32	1.1119,0.3573,6.4773
no_mig	Round_1_Replicate_9	-142853.33	285712.66	399089557.8	1947.16	2.3826,1.0584,4.8059
no_mig	Round_1_Replicate_10	-23480.84	46967.68	163647.75	3510.79	0.6539,3.3393,0.3762
no_mig	Round_2_Replicate_1	-12338.55	24683.1	47625.72	4817.79	0.562,3.8117,0.0971
no_mig	Round_2_Replicate_2	-12438.94	24883.88	20802.83	7209.95	0.2472,0.4268,0.0351
no_mig	Round_2_Replicate_3	-37526.66	75059.32	242802.05	5791.58	0.8627,0.4167,0.2907
no_mig	Round_2_Replicate_4	-14194.62	28395.24	40721.19	5164.55	0.5716,1.3702,0.1592
no_mig	Round_2_Replicate_5	-10585.3	21176.6	20219.91	5947.2	0.3062,1.5489,0.0663
no_mig	Round_2_Replicate_6	-11868.0	23742.0	27765.58	5154.15	0.3887,2.5979,0.1032
no_mig	Round_2_Replicate_7	-18170.06	36346.12	42047.29	5239.66	1.7468,0.666,0.0898
no_mig	Round_2_Replicate_8	-16192.06	32390.12	64151.59	4892.73	1.6325,1.0258,0.1069
no_mig	Round_2_Replicate_9	-28370.46	56746.92	270426.15	2836.2	0.8379,4.3063,0.5588
no_mig	Round_2_Replicate_10	-11107.24	22220.48	21855.14	5602.81	0.4822,1.4481,0.0853
no_mig	Round_2_Replicate_11	-21269.11	42544.22	81373.69	6594.24	0.4102,0.5761,0.1544
no_mig	Round_2_Replicate_12	-50415.03	100836.06	1062396.05	5401.9	0.6065,0.6797,0.6176
