Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
1	Round_1_Replicate_1	-34502.41	69012.82	3201309.31	604.72	1.7759,0.593,1.5188,0.9883
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
1	Round_1_Replicate_1	-16096.37	32200.74	2311936.25	115.86	5.6209,9.0886,7.2046,0.0937
1	Round_1_Replicate_1	-25467.12	50942.24	456844.79	242.08	4.62,14.049,0.6964,0.9883
1	Round_1_Replicate_1	-61676.97	123361.94	35253985754.7	929.7	0.586,0.2982,2.6778,0.9883
1	Round_1_Replicate_2	-21939.68	43887.36	231813.94	625.75	0.9863,5.3224,0.1709,0.9883
1	Round_1_Replicate_2	-8608.23	17224.46	31737.23	322.25	5.926,3.5665,0.7038,0.3237
1	Round_1_Replicate_2	-32709.58	65427.16	13853671.62	627.82	0.1013,4.0449,0.4029,0.9899
1	Round_1_Replicate_3	-12240.28	24488.56	5683373924478890.0	402.0	8.0375,10.7085,0.2355,0.467
1	Round_1_Replicate_2	-8834.76	17677.52	74091.0	859.57	0.1325,3.2218,0.133,0.3468
1	Round_1_Replicate_3	-5065.87	10139.74	14350.14	1048.53	0.7929,0.6849,0.0818,0.1339
1	Round_1_Replicate_3	-24878.68	49765.36	1836834.18	920.91	2.7763,0.5726,0.08,0.9883
1	Round_1_Replicate_3	-24119.28	48246.56	376162.98	379.71	1.4805,6.5446,0.5745,0.989
1	Round_1_Replicate_4	-3988.49	7984.98	5151.86	1180.21	0.2514,0.8115,0.055,0.0594
1	Round_1_Replicate_4	-23270.27	46548.54	415678.63	584.6	0.4993,4.6145,0.3042,0.9897
1	Round_1_Replicate_4	-80642.44	161292.88	-2.5147873822400654e+25	198.07	6.9723,0.1791,8.5377,0.9904
1	Round_1_Replicate_4	-39191.38	78390.76	22286426.23	2277.11	0.1354,0.1847,0.5517,0.9897
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
1	Round_1_Replicate_5	-7231.04	14470.08	31251.79	232.56	6.415,7.005,1.0173,0.0611
1	Round_1_Replicate_5	-24336.68	48681.36	445612.98	520.43	0.9913,2.8015,0.6451,0.989
1	Round_1_Replicate_5	-29510.79	59029.58	1753647.36	140.58	3.7601,12.1436,3.45,0.9885
1	Round_1_Replicate_5	-36284.6	72577.2	5763466.9	100.05	12.5823,5.4174,8.5227,0.9899
1	Round_1_Replicate_1	-17145.7	34299.4	2388968.16	116.52	4.8064,10.409,6.6442,0.362
1	Round_1_Replicate_6	-4837.04	9682.08	20331.14	702.01	1.5653,1.865,0.1905,0.0805
1	Round_1_Replicate_6	-75796.51	151601.02	16519973869524.71	779.74	0.2435,0.7308,3.5616,0.9883
1	Round_1_Replicate_6	-11404.02	22816.04	623222181.2	551.69	8.8446,2.0482,0.1893,0.631
1	Round_1_Replicate_6	-17388.5	34785.0	685150.3	396.06	4.9817,0.6741,1.2659,0.2517
1	Round_1_Replicate_2	-24117.47	48242.94	571350.54	671.39	0.3756,2.761,0.3794,0.9897
1	Round_1_Replicate_7	-12958.59	25925.18	60757.66	623.41	10.0873,0.8644,0.1814,0.7014
1	Round_1_Replicate_7	-21194.06	42396.12	208345.96	750.21	0.5266,6.5511,0.1023,0.9883
1	Round_1_Replicate_3	-9716.98	19441.96	79568.02	673.08	0.1739,10.3427,0.1505,0.4366
1	Round_1_Replicate_7	-81693.82	163395.64	-2.4994911046092817e+26	145.66	6.7322,0.3859,18.2347,0.9904
1	Round_1_Replicate_8	-32170.98	64349.96	1983706.68	550.86	1.8029,0.8308,1.5897,0.9883
1	Round_1_Replicate_4	-7580.94	15169.88	16352.48	1113.63	0.6444,0.5348,0.1153,0.398
1	Round_1_Replicate_8	-26083.85	52175.7	1757387.52	593.39	0.1395,15.6911,0.1867,0.9897
1	Round_1_Replicate_5	-10879.89	21767.78	48216.65	832.59	3.0554,0.2649,0.1982,0.1004
1	Round_1_Replicate_9	-18953.73	37915.46	5917759.51	357.28	0.3566,5.756,1.3737,0.3093
1	Round_1_Replicate_8	-103567.26	207142.52	-1.2375394215801764e+38	551.39	0.0995,0.4111,8.7625,0.9896
1	Round_1_Replicate_6	-6145.92	12299.84	14834.49	1381.13	0.2022,0.4466,0.08,0.1976
1	Round_1_Replicate_10	-29000.54	58009.08	2035388.39	178.72	1.8941,12.8352,2.2065,0.9883
1	Round_1_Replicate_9	-56022.74	112053.48	940736557.94	332.69	14.7752,0.1261,0.9202,0.9885
1	Round_1_Replicate_7	-7227.75	14463.5	394532885626.66	493.4	3.0844,9.0702,0.1912,0.0963
1	Round_1_Replicate_9	-91256.5	182521.0	-7.920763440103272e+34	533.99	0.4662,0.0971,9.0521,0.1471
1	Round_1_Replicate_8	-27206.51	54421.02	1724142027469339.5	538.43	7.4469,4.7322,0.1553,0.9889
1	Round_1_Replicate_10	-83419.5	166847.0	-1.471586885959442e+27	288.43	2.2845,0.2521,12.2286,0.9901
1	Round_1_Replicate_11	-79455.1	158918.2	-1.4606179112892308e+30	833.4	0.0698,0.6998,3.7739,0.99
1	Round_1_Replicate_10	-67206.78	134421.56	80526798075889.86	594.91	0.1176,1.9457,2.2985,0.7916
1	Round_1_Replicate_9	-43127.95	86263.9	18059802216.13	995.37	0.432,0.3589,2.5389,0.211
1	Round_1_Replicate_11	-47661.64	95331.28	174987191.97	2615.67	0.1352,0.1048,0.5479,0.9897
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
