chr	pos	totDepth
KN805525.1	484629	17967
KN805525.1	484632	17920
KN805525.1	484635	17977
KN805525.1	484637	17944
KN805525.1	484652	21610
KN805525.1	484656	21979
KN805525.1	484665	22216
KN805525.1	484666	22192
KN805525.1	484682	19304
KN805525.1	484683	19305
KN805525.1	484685	19316
KN805525.1	484691	19303
KN805525.1	484692	19295
KN805525.1	484694	19301
KN805525.1	484702	19284
KN805525.1	484705	19321
KN805525.1	484709	19205
KN805525.1	581550	16486
KN805525.1	581554	16260
KN805525.1	581558	15724
KN805525.1	581584	16916
KN805525.1	581586	16917
KN805525.1	581593	13440
KN805525.1	581596	13434
KN805525.1	581619	13498
KN805525.1	581633	13491
KN805525.1	604803	11811
KN805525.1	604806	11790
KN805525.1	604813	11798
KN805525.1	827528	13728
KN805525.1	827540	13699
KN805525.1	827556	13701
KN805525.1	827557	13553
KN805525.1	827558	13699
KN805525.1	827562	13710
KN805525.1	827579	13722
KN805525.1	827580	13707
KN805525.1	1063945	23836
KN805525.1	1063971	28010
KN805525.1	1063983	28036
KN805525.1	1064001	26699
KN805525.1	1064013	26644
KN805525.1	1064023	26651
KN805525.1	1064029	22596
KN805525.1	1064033	22554
KN805525.1	1064036	22559
KN805525.1	1064038	22593
KN805525.1	1064045	21856
KN805525.1	1180004	14016
KN805525.1	1180006	14013
KN805525.1	1180012	14007
KN805525.1	1180017	14021
KN805525.1	1180018	14014
KN805525.1	1180022	14020
KN805525.1	1180045	17868
KN805525.1	1180073	18094
KN805525.1	1308131	14858
KN805525.1	1308133	14811
KN805525.1	1308135	14806
KN805525.1	1308143	14803
KN805525.1	1308149	16673
KN805525.1	1308151	16619
KN805525.1	1308160	15974
KN805525.1	1308166	16630
KN805525.1	1329487	29044
KN805525.1	1329492	29052
KN805525.1	1329497	29056
KN805525.1	1329499	29047
KN805525.1	1329502	29062
KN805525.1	1346223	21835
KN805525.1	1346230	21888
KN805525.1	1346235	26335
KN805525.1	1346241	26315
KN805525.1	1346251	26259
KN805525.1	1346253	26341
KN805525.1	1346254	26289
KN805525.1	1346256	26285
KN805525.1	1346283	23534
KN805525.1	1346304	19036
KN805525.1	1346309	19048
KN805525.1	1346312	19042
KN805525.1	1346388	25909
KN805525.1	1346390	25940
KN805525.1	1346408	25953
KN805525.1	1346418	22924
KN805525.1	1346423	22835
KN805525.1	1370318	24154
KN805525.1	1370324	24109
KN805525.1	1370337	24135
KN805525.1	1370355	28121
KN805525.1	1370356	28137
KN805525.1	1370366	27989
KN805525.1	1370378	23103
KN805525.1	1370391	22994
KN805525.1	1370400	17818
KN805525.1	1370409	17821
KN805525.1	1370410	17840
KN805525.1	1370423	17818
KN805525.1	1370431	17819
KN805525.1	1472271	5425
KN805525.1	1472273	5428
KN805525.1	1472290	5515
KN805525.1	1585566	15898
KN805525.1	1585574	15896
KN805525.1	1585586	15805
KN805525.1	1585588	15885
KN805525.1	1585603	20169
KN805525.1	1585625	22497
KN805525.1	1585646	18703
KN805525.1	1585655	18757
KN805525.1	1585656	18734
KN805525.1	1585659	18757
KN805525.1	1609029	16303
KN805525.1	1609031	16302
KN805525.1	1609032	16267
KN805525.1	1609042	18473
KN805525.1	1609073	15499
KN805525.1	1609076	15511
KN805525.1	1609077	15519
KN805525.1	1609078	15524
KN805525.1	1609079	15530
KN805525.1	1633400	11315
KN805525.1	1633401	10481
KN805525.1	1687223	13701
KN805525.1	1687252	13701
KN805525.1	1687265	13679
KN805525.1	1687272	17414
KN805525.1	1687273	17442
KN805525.1	1687275	17529
